"Hospital","Ph_no","Street","Suburb","Pcode","State","LHN","PHN","Website","Description","Sector","Beds","Lat","Long","bed_grp","ED","Regional","Size","Special","web_address"
"Abbotsford Private Hospital","08 9200 6282","61 Cambridge Street","West Leederville",6007,"WA","","","www.abbotsfordhospital.com.au","","Private","<50",-31.940992,115.837344,1,0,0,0,0,"https://www.abbotsfordhospital.com.au"
"Adelaide Clinic","08 8269 8100","33 Park Terrace","Gilberton",5081,"SA","","","www.adelaideclinic.com.au/","","Private","50-99",-34.90658,138.613167,2,0,0,0,0,"https://www.adelaideclinic.com.au/"
"Adelaide Day Surgery Pty Ltd","08 8239 4900","18 North Terrace","Adelaide",5000,"SA","","","http://www.curagroup.com.au/adelaide-day-surgery","","Private","<50",-34.922409,138.588817,1,0,0,0,0,"http://www.curagroup.com.au/adelaide-day-surgery"
"Adelaide Eye & Laser Centre","08 8274 7000","215 Greenhill Road","Eastwood",5063,"SA","","","www.aelc.com.au","","Private","",-34.94042,138.6215,0,0,0,0,0,"https://www.aelc.com.au"
"Adelaide Surgicentre","08 8211 0000","89 King William Street","Kent Town",5067,"SA","","","www.asec.net.au","","Private","<50",-34.917691,138.621022,1,0,0,0,0,"https://www.asec.net.au"
"Aesthetic Day Surgery","02 9553 9905","14 Kensington Street","Kogarah",2217,"NSW","","","www.aestheticdaysurgery.com.au","","Private","",-33.964843,151.135032,0,0,0,0,0,"https://www.aestheticdaysurgery.com.au"
"Albany Hospital","08 9892 2222","Warden Avenue","Albany",6330,"WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=4","Medium regional hospital with an emergency department","Public","100-199",-35.003407,117.904468,3,1,1,2,0,"https://www.health.wa.gov.au/services/detail.cfm?Unit_ID=4"
"Albert Road Clinic","03 9256 8311","31 Albert Road","Melbourne",3004,"Vic","","","www.albertroadclinic.com.au/","","Private","50-99",-37.834246,144.972151,2,0,0,0,0,"https://www.albertroadclinic.com.au/"
"Albury Wodonga Health [Albury Campus]","02 6058 4444","201 Borella Road","Albury",2640,"NSW","Albury Wodonga Health","Murray","","Large regional hospital with an emergency department","Public","100-199",-36.078401,146.939146,3,1,1,3,0,"https://www.myhospitals.gov.au"
"Albury Wodonga Health [Wodonga Campus]","02 6051 7111","69 Vermont Street","Wodonga",3690,"Vic","Albury Wodonga Health","Murray","","Medium regional hospital with an emergency department","Public","100-199",-36.131791,146.879417,3,1,1,2,0,"https://www.myhospitals.gov.au"
