"Name","FinYear","variable","value"
"Albury Wodonga Health [Albury Campus]","2010_11","Rate.per.10.000.bed.days",0
"Albury Wodonga Health [Albury Campus]","2011_12","Rate.per.10.000.bed.days",1.39
"Albury Wodonga Health [Albury Campus]","2012_13","Rate.per.10.000.bed.days",1.15
"Albury Wodonga Health [Albury Campus]","2013_14","Rate.per.10.000.bed.days",1.82
"Albury Wodonga Health [Albury Campus]","2014_15","Rate.per.10.000.bed.days",1.38
"Albury Wodonga Health [Albury Campus]","2015_16","Rate.per.10.000.bed.days",0.96
"Albury Wodonga Health [Albury Campus]","2016_17","Rate.per.10.000.bed.days",0.94
"Armidale Hospital","2010_11","Rate.per.10.000.bed.days",1.14
"Armidale Hospital","2011_12","Rate.per.10.000.bed.days",1.81
"Armidale Hospital","2012_13","Rate.per.10.000.bed.days",0.75
"Armidale Hospital","2013_14","Rate.per.10.000.bed.days",0
"Armidale Hospital","2014_15","Rate.per.10.000.bed.days",0.77
"Armidale Hospital","2015_16","Rate.per.10.000.bed.days",1.17
"Armidale Hospital","2016_17","Rate.per.10.000.bed.days",0.75
"Auburn Hospital","2010_11","Rate.per.10.000.bed.days",0.93
"Auburn Hospital","2011_12","Rate.per.10.000.bed.days",0.24
"Auburn Hospital","2012_13","Rate.per.10.000.bed.days",0
"Auburn Hospital","2013_14","Rate.per.10.000.bed.days",0.23
"Auburn Hospital","2014_15","Rate.per.10.000.bed.days",0
"Auburn Hospital","2015_16","Rate.per.10.000.bed.days",0
"Auburn Hospital","2016_17","Rate.per.10.000.bed.days",0.48
"Ballina Hospital","2010_11","Rate.per.10.000.bed.days",0.82
"Ballina Hospital","2011_12","Rate.per.10.000.bed.days",0.74
"Ballina Hospital","2012_13","Rate.per.10.000.bed.days",1.12
"Ballina Hospital","2013_14","Rate.per.10.000.bed.days",0.37
"Ballina Hospital","2014_15","Rate.per.10.000.bed.days",0
"Ballina Hospital","2015_16","Rate.per.10.000.bed.days",0.34
"Ballina Hospital","2016_17","Rate.per.10.000.bed.days",0
"Balmain Hospital","2010_11","Rate.per.10.000.bed.days",0.4
"Balmain Hospital","2011_12","Rate.per.10.000.bed.days",1.23
"Balmain Hospital","2012_13","Rate.per.10.000.bed.days",0.39
"Balmain Hospital","2013_14","Rate.per.10.000.bed.days",0
"Balmain Hospital","2014_15","Rate.per.10.000.bed.days",1.16
"Balmain Hospital","2015_16","Rate.per.10.000.bed.days",1.15
"Balmain Hospital","2016_17","Rate.per.10.000.bed.days",0.41
"Balranald Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Balranald Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Balranald Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Balranald Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Balranald Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Balranald Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Balranald Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Bankstown Lidcombe Hospital","2010_11","Rate.per.10.000.bed.days",0.89
"Bankstown Lidcombe Hospital","2011_12","Rate.per.10.000.bed.days",0.45
"Bankstown Lidcombe Hospital","2012_13","Rate.per.10.000.bed.days",0.85
"Bankstown Lidcombe Hospital","2013_14","Rate.per.10.000.bed.days",0.9
"Bankstown Lidcombe Hospital","2014_15","Rate.per.10.000.bed.days",0.75
"Bankstown Lidcombe Hospital","2015_16","Rate.per.10.000.bed.days",0.43
"Bankstown Lidcombe Hospital","2016_17","Rate.per.10.000.bed.days",0.43
"Baradine Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Baradine Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Baradine Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Baradine Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Baradine Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Baradine Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Baradine Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Barham Hospital","2010_11","Rate.per.10.000.bed.days",NA
"Barham Hospital","2011_12","Rate.per.10.000.bed.days",NA
"Barham Hospital","2012_13","Rate.per.10.000.bed.days",NA
"Barham Hospital","2013_14","Rate.per.10.000.bed.days",NA
"Barham Hospital","2014_15","Rate.per.10.000.bed.days",NA
"Barham Hospital","2015_16","Rate.per.10.000.bed.days",NA
"Barham Hospital","2016_17","Rate.per.10.000.bed.days",NA
"Barraba Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Barraba Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Barraba Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Barraba Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Barraba Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Barraba Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Barraba Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Batemans Bay Hospital","2010_11","Rate.per.10.000.bed.days",0.78
"Batemans Bay Hospital","2011_12","Rate.per.10.000.bed.days",0.8
"Batemans Bay Hospital","2012_13","Rate.per.10.000.bed.days",0
"Batemans Bay Hospital","2013_14","Rate.per.10.000.bed.days",0
"Batemans Bay Hospital","2014_15","Rate.per.10.000.bed.days",0.82
"Batemans Bay Hospital","2015_16","Rate.per.10.000.bed.days",0
"Batemans Bay Hospital","2016_17","Rate.per.10.000.bed.days",0
"Bathurst Health Service","2010_11","Rate.per.10.000.bed.days",0
"Bathurst Health Service","2011_12","Rate.per.10.000.bed.days",0.52
"Bathurst Health Service","2012_13","Rate.per.10.000.bed.days",1.34
"Bathurst Health Service","2013_14","Rate.per.10.000.bed.days",0.85
"Bathurst Health Service","2014_15","Rate.per.10.000.bed.days",0
"Bathurst Health Service","2015_16","Rate.per.10.000.bed.days",0
"Bathurst Health Service","2016_17","Rate.per.10.000.bed.days",0
"Batlow/Adelong Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Batlow/Adelong Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Batlow/Adelong Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Batlow/Adelong Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Batlow/Adelong Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Batlow/Adelong Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Batlow/Adelong Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Bellinger River District Hospital","2010_11","Rate.per.10.000.bed.days",0.73
"Bellinger River District Hospital","2011_12","Rate.per.10.000.bed.days",0.7
"Bellinger River District Hospital","2012_13","Rate.per.10.000.bed.days",0
"Bellinger River District Hospital","2013_14","Rate.per.10.000.bed.days",0
"Bellinger River District Hospital","2014_15","Rate.per.10.000.bed.days",0
"Bellinger River District Hospital","2015_16","Rate.per.10.000.bed.days",0
"Bellinger River District Hospital","2016_17","Rate.per.10.000.bed.days",0
"Belmont Hospital","2010_11","Rate.per.10.000.bed.days",2.61
"Belmont Hospital","2011_12","Rate.per.10.000.bed.days",1.43
"Belmont Hospital","2012_13","Rate.per.10.000.bed.days",1.92
"Belmont Hospital","2013_14","Rate.per.10.000.bed.days",0.93
"Belmont Hospital","2014_15","Rate.per.10.000.bed.days",0.6
"Belmont Hospital","2015_16","Rate.per.10.000.bed.days",0.78
"Belmont Hospital","2016_17","Rate.per.10.000.bed.days",1.23
"Berrigan Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Berrigan Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Berrigan Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Berrigan Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Berrigan Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Berrigan Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Berrigan Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Bingara Multi Purpose Service","2010_11","Rate.per.10.000.bed.days",NA
"Bingara Multi Purpose Service","2011_12","Rate.per.10.000.bed.days",NA
"Bingara Multi Purpose Service","2012_13","Rate.per.10.000.bed.days",NA
"Bingara Multi Purpose Service","2013_14","Rate.per.10.000.bed.days",NA
"Bingara Multi Purpose Service","2014_15","Rate.per.10.000.bed.days",NA
"Bingara Multi Purpose Service","2015_16","Rate.per.10.000.bed.days",NA
"Bingara Multi Purpose Service","2016_17","Rate.per.10.000.bed.days",NA
"Blacktown Hospital","2010_11","Rate.per.10.000.bed.days",2.07
"Blacktown Hospital","2011_12","Rate.per.10.000.bed.days",2.61
